Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,-0.8762255,1.0
6,0,0.0,0,0.0,-0.44290867,2.0
7,0,0.0,0,0.0,-0.504717,3.0
8,0,0.0,0,0.0,0.9814815,4.0
9,0,0.0,0,0.0,0.9818182,5.0
10,0,0.0,0,0.0,0.98214287,6.0
11,0,0.0,0,0.0,0.98245615,7.0
12,0,0.0,0,0.0,0.9827587,8.0
13,0,0.0,0,0.0,1.9666667,10.0
14,0,0.0,0,0.0,1.967742,12.0
15,0,0.0,0,0.0,1.96875,14.0
16,0,0.0,0,0.0,1.9668561,16.0
17,0,0.0,0,0.0,1.4122242,17.0
18,0,0.0,0,0.0,1.3508928,19.0
19,0,0.0,0,0.0,1.2894965,21.0
20,0,0.0,0,0.0,1.2280407,23.0
21,0,0.0,0,0.0,1.1636887,25.0
22,0,0.0,0,0.0,1.102127,26.0
23,0,0.0,0,0.0,1.0433594,27.0
24,0,0.0,0,0.0,0.98170733,29.0
25,0,0.0,0,0.0,0.9171739,31.0
26,0,0.0,0,0.0,0.85544395,32.0
27,0,0.0,0,0.0,0.7965199,33.0
28,0,0.0,0,0.0,0.73472226,35.0
29,0,0.0,0,0.0,0.6700531,37.0
30,0,0.0,0,0.0,0.60819626,38.0
31,0,0.0,0,0.0,0.54631275,39.0
32,0,0.0,0,0.0,0.4872449,40.0
33,0,0.0,0,0.0,1.9601136,42.0
34,0,0.0,0,0.0,1.957665,44.0
35,0,0.0,0,0.0,1.9637239,45.0
36,0,0.0,0,0.0,1.9612457,46.0
37,0,0.0,0,0.0,1.961595,47.0
38,0,0.0,0,0.0,1.9647727,48.0
39,0,0.0,0,0.0,1.9622564,50.0
40,0,0.0,0,0.0,1.9597287,51.0
41,0,0.0,0,0.0,1.9628724,53.0
42,0,0.0,0,0.0,1.9631644,55.0
43,0,0.0,0,0.0,1.9662879,56.0
44,0,0.0,0,0.0,1.9608793,57.0
45,0,0.0,0,0.0,1.9639846,57.0
46,0,0.0,0,0.0,1.9756042,57.0
47,0,0.0,0,0.0,1.9516369,58.0
48,0,0.0,0,0.0,1.9634459,59.0
