Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,0.0,0.0
6,0,0.0,0,0.0,-0.38112745,1.0
7,0,0.0,0,0.0,0.9807693,2.0
8,0,0.0,0,0.0,-0.8142688,3.0
9,0,0.0,0,0.0,0.9814815,4.0
10,0,0.0,0,0.0,1.9642857,6.0
11,0,0.0,0,0.0,1.9655174,8.0
12,0,0.0,0,0.0,1.2030303,10.0
13,0,0.0,0,0.0,2.1463294,13.0
14,0,0.0,0,0.0,2.139678,16.0
15,0,0.0,0,0.0,2.0714931,17.0
16,0,0.0,0,0.0,2.010975,20.0
17,0,0.0,0,0.0,1.5884849,22.0
18,0,0.0,0,0.0,1.9096425,23.0
19,0,0.0,0,0.0,1.8406727,25.0
20,0,0.0,0,0.0,1.4675324,27.0
21,0,0.0,0,0.0,1.411997,29.0
22,0,0.0,0,0.0,1.5314709,32.0
23,0,0.0,0,0.0,1.4345456,34.0
24,0,0.0,0,0.0,1.2900391,35.0
25,0,0.0,0,0.0,1.2285354,38.0
26,0,0.0,0,0.0,1.2263258,41.0
27,0,0.0,0,0.0,1.1511905,43.0
28,0,0.0,0,0.0,1.0895337,46.0
29,-1,0.0,0,0.0,0.981982,48.0
30,0,-0.033333335,-1,0.0,1.3087997,51.0
31,0,-0.032258064,-1,0.0,2.880609,54.0
32,0,-0.03125,-1,0.0,2.9337392,55.0
33,0,-0.030303031,-1,0.0,2.9727688,55.0
34,0,-0.029411765,-1,0.0,2.9569802,57.0
35,0,-0.028571429,-1,0.0,2.8974411,58.0
36,0,-0.027777778,-1,0.0,2.8315768,60.0
37,0,-0.027027028,-1,0.0,2.6936193,62.0
38,0,-0.02631579,-1,0.0,2.0777955,64.0
39,0,-0.025641026,-1,0.0,1.734733,66.0
40,0,-0.025,-1,0.0,1.8740641,67.0
41,0,-0.024390243,-1,0.0,1.8054806,69.0
42,0,-0.023809524,-1,0.0,1.7341669,70.0
43,0,-0.023255814,-1,0.0,1.6098857,73.0
44,0,-0.022727273,-1,-1.2638364e-16,1.4855769,76.0
45,0,-0.022222223,-1,0.0,1.5396299,79.0
