Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
114,0,-0.02631579,-3,-0.3951241,2.6079154,163.0
115,0,-0.026086956,-3,-0.40070292,2.4154925,166.0
116,0,-0.025862068,-3,-0.34215182,2.5373728,167.0
117,0,-0.025641028,-3,-0.44747043,2.6812913,169.0
118,0,-0.025423728,-3,-0.34243762,2.4214642,169.0
119,0,-0.025210086,-3,-0.34230012,2.8660069,172.0
120,0,-0.025000002,-3,-0.34205538,2.7543097,173.0
121,0,-0.024793386,-3,-0.34188384,2.7391014,175.0
122,0,-0.024590163,-3,-0.34232235,2.7371125,175.0
123,0,-0.024390243,-3,-0.3361776,2.7407918,175.0
124,0,-0.024193548,-3,-0.3421782,2.774281,176.0
125,0,-0.024,-3,-0.341869,2.760222,177.0
126,0,-0.023809526,-3,-0.34205538,2.7194932,177.0
127,0,-0.023622047,-3,-0.34188217,2.416338,178.0
128,0,-0.0234375,-3,-0.34211224,2.3988457,181.0
129,0,-0.023255814,-3,-0.34182525,2.4328127,181.0
130,0,-0.023076924,-3,-0.5,2.4864802,182.0
131,0,-0.022900764,-3,-0.5,2.5617642,183.0
132,0,-0.022727273,-3,-0.5,2.5730848,186.0
133,-1,-0.02255639,-3,-0.5,2.494022,188.0
134,0,-0.029850746,-4,0.0,2.4156365,189.0
135,0,-0.02962963,-4,0.0,2.5421307,189.0
136,0,-0.029411765,-4,0.0,2.5555112,190.0
137,0,-0.02919708,-4,0.0,2.562418,190.0
138,0,-0.028985508,-4,0.0,2.6246843,190.0
139,0,-0.02877698,-4,0.0,2.5386364,190.0
140,0,-0.028571429,-4,-1.5716433e-30,2.5730767,191.0
141,0,-0.028368793,-4,-2.6614296e-07,2.3781657,192.0
142,0,-0.028169014,-4,-2.0671291e-10,2.3952198,192.0
143,0,-0.027972028,-4,0.0,1.3988321,192.0
144,0,-0.027777778,-4,0.0,1.468555,192.0
145,0,-0.027586207,-4,-8.7504386e-11,1.4322319,192.0
146,0,-0.02739726,-4,0.0,1.6653255,192.0
147,0,-0.027210884,-4,-8.9829104e-30,1.3763682,193.0
148,0,-0.027027028,-4,0.0,1.4277806,193.0
149,0,-0.026845638,-4,0.0,1.4662007,194.0
150,0,-0.026666667,-4,0.0,1.5677232,195.0
151,0,-0.026490066,-4,0.0,1.5459075,195.0
152,0,-0.02631579,-4,0.0,1.6513908,195.0
153,0,-0.026143791,-4,-8.727702e-11,1.6169059,195.0
154,0,-0.025974026,-4,0.0,1.6508862,195.0
155,0,-0.025806451,-4,-9.0085794e-30,1.7058594,195.0
156,0,-0.025641026,-4,0.0,1.652019,195.0
157,0,-0.025477707,-4,0.0,1.7053455,195.0
158,0,-0.025316456,-4,0.0,1.7868931,195.0
159,0,-0.025157232,-4,-0.5,2.7700315,197.0
160,0,-0.025,-4,-0.5,2.74082,199.0
161,0,-0.024844721,-4,-0.45454785,2.5783012,201.0
162,0,-0.024691358,-4,-0.35049498,2.5713606,203.0
163,0,-0.024539877,-4,-0.45100623,2.532458,205.0
164,0,-0.024390243,-4,-0.48052332,2.604118,207.0
165,0,-0.024242423,-4,-0.45101702,2.715321,208.0
166,0,-0.024096385,-4,-0.38360852,2.470888,210.0
167,0,-0.023952097,-4,-0.4502555,2.5695539,211.0
168,0,-0.023809524,-4,-0.5,2.8817894,212.0
169,0,-0.02366864,-4,-0.5,2.8907247,213.0
170,0,-0.023529412,-4,-0.40948388,2.517242,215.0
171,0,-0.023391813,-4,-0.4509563,2.7081285,217.0
172,0,-0.023255814,-4,-0.45100892,2.70618,218.0
173,0,-0.023121387,-4,-0.5,2.8569527,219.0
174,0,-0.022988506,-4,-0.5,2.852163,220.0
175,0,-0.022857143,-4,-0.5,2.480936,222.0
176,0,-0.022727273,-4,-0.5,2.4862494,224.0
177,0,-0.02259887,-4,-0.5,2.3966734,226.0
178,0,-0.02247191,-4,-0.5,2.4282258,228.0
179,0,-0.022346368,-4,-0.5,2.3116682,230.0
180,-1,-0.022222223,-4,-0.5,2.318592,233.0
181,0,-0.02762431,-5,-1.1668555e-19,2.3356695,234.0
182,0,-0.027472528,-5,-6.2200756e-19,2.3925977,235.0
183,0,-0.027322404,-5,-6.21519e-19,2.2911758,237.0
184,0,-0.027173914,-5,0.0,2.1409435,238.0
185,0,-0.027027028,-5,0.0,2.124535,240.0
186,0,-0.02688172,-5,-9.7147796e-30,2.3105636,242.0
187,0,-0.02673797,-5,0.0,2.3198378,242.0
188,0,-0.026595743,-5,0.0,2.4002411,244.0
189,0,-0.026455026,-5,0.0,2.5278697,244.0
190,0,-0.02631579,-5,0.0,1.5220015,244.0
191,0,-0.02617801,-5,0.0,1.6572096,244.0
192,0,-0.026041668,-5,0.0,1.6015729,244.0
193,0,-0.025906734,-5,0.0,1.5660646,245.0
194,0,-0.025773196,-5,0.0,1.5751566,245.0
195,0,-0.025641026,-5,0.0,1.7108309,245.0
196,0,-0.025510203,-5,0.0,1.6670585,245.0
197,0,-0.02538071,-5,0.0,1.7121271,245.0
198,0,-0.025252525,-5,0.0,1.805247,246.0
199,0,-0.025125628,-5,0.0,1.8856628,246.0
200,0,-0.024999999,-5,0.0,1.7513185,246.0
201,0,-0.024875622,-5,0.0,1.6834693,246.0
202,0,-0.024752475,-5,0.0,1.6389502,248.0
203,0,-0.024630541,-5,0.0,1.48429,249.0
204,0,-0.024509804,-5,0.0,1.4296926,249.0
205,0,-0.024390243,-5,0.0,1.3536998,250.0
206,0,-0.024271846,-5,0.0,1.2852507,250.0
207,0,-0.024154589,-5,0.0,1.2082114,250.0
208,0,-0.024038462,-5,0.0,1.1175933,250.0
209,0,-0.023923444,-5,0.0,1.0558002,250.0
210,0,-0.023809524,-5,0.0,1.0176666,251.0
211,0,-0.023696683,-5,0.0,0.96938556,252.0
212,0,-0.023584906,-5,0.0,0.94860023,253.0
213,0,-0.02347418,-5,0.0,0.9089671,254.0
214,0,-0.023364484,-5,0.0,0.8408193,256.0
215,0,-0.023255814,-5,0.0,0.76482517,257.0
216,0,-0.02314815,-5,0.0,0.74754465,258.0
217,0,-0.023041476,-5,0.0,0.71414983,258.0
218,0,-0.022935778,-5,0.0,0.6781308,259.0
219,0,-0.022831049,-5,0.0,0.6451384,260.0
220,0,-0.022727272,-5,0.0,0.57983077,262.0
221,0,-0.022624435,-5,0.0,0.50099486,263.0
222,0,-0.022522524,-5,0.0,0.43372756,264.0
