Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,0.0,0.0
6,0,0.0,0,0.0,-0.37562376,1.0
7,0,0.0,0,0.0,0.99800795,2.0
8,0,0.0,0,0.0,-0.8126863,3.0
9,0,0.0,0,0.0,0.9980159,4.0
10,0,0.0,0,0.0,0.9980199,5.0
11,0,0.0,0,0.0,0.9980237,6.0
12,0,0.0,0,0.0,0.9980277,7.0
13,0,0.0,0,0.0,2.9941177,10.0
14,0,0.0,0,0.0,2.994152,13.0
15,0,0.0,0,0.0,2.994186,16.0
16,0,0.0,0,0.0,1.9923422,19.0
17,0,0.0,0,0.0,1.62057,21.0
18,0,0.0,0,0.0,1.9895563,24.0
19,0,0.0,0,0.0,1.826282,26.0
20,0,0.0,0,0.0,1.4957626,27.0
21,0,0.0,0,0.0,1.433345,30.0
22,0,0.0,0,0.0,1.5525701,33.0
23,0,0.0,0,0.0,1.4517317,35.0
24,0,0.0,0,0.0,1.308529,36.0
25,0,0.0,0,0.0,1.2461082,39.0
26,0,0.0,0,0.0,1.2461293,42.0
27,0,0.0,0,0.0,1.180866,45.0
28,0,0.0,0,0.0,1.1184429,48.0
29,-1,0.0,0,0.0,0.99357486,50.0
30,0,-0.033333335,-1,0.0,1.9927028,52.0
31,0,-0.032258064,-1,0.0,2.9946811,55.0
32,0,-0.03125,-1,0.0,2.9890273,58.0
33,0,-0.030303031,-1,0.0,2.989055,60.0
34,0,-0.029411765,-1,0.0,2.9890826,61.0
35,0,-0.028571429,-1,0.0,2.926664,64.0
36,0,-0.027777778,-1,0.0,2.8699267,66.0
37,0,-0.027027028,-1,0.0,2.7989838,69.0
38,0,-0.02631579,-1,0.0,2.5319889,71.0
39,0,-0.025641026,-1,0.0,1.9900664,74.0
40,0,-0.025,-1,-1.9530141e-35,2.0176973,75.0
41,0,-0.024390243,-1,0.0,2.1717172,78.0
42,0,-0.023809524,-1,0.0,1.72576,80.0
43,0,-0.023255814,-1,0.0,1.493409,82.0
44,0,-0.022727273,-1,0.0,1.4962687,84.0
45,0,-0.022222223,-1,0.0,1.5700477,87.0
