Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,0.0,0.0
6,0,0.0,0,0.0,-0.37562376,1.0
7,0,0.0,0,0.0,0.99800795,2.0
8,0,0.0,0,0.0,-0.8126863,3.0
9,0,0.0,0,0.0,0.9980159,4.0
10,0,0.0,0,0.0,1.9960474,6.0
11,0,0.0,0,0.0,1.996063,8.0
12,0,0.0,0,0.0,1.2269274,10.0
13,0,0.0,0,0.0,2.182444,13.0
14,0,0.0,0,0.0,2.1654277,16.0
15,0,0.0,0,0.0,2.1036935,17.0
16,0,0.0,0,0.0,2.041282,20.0
17,0,0.0,0,0.0,1.6205952,22.0
18,0,0.0,0,0.0,1.9895835,25.0
19,0,0.0,0,0.0,1.8745444,27.0
20,0,0.0,0,0.0,1.4957864,28.0
21,0,0.0,0,0.0,1.4333682,31.0
22,0,0.0,0,0.0,1.5525937,34.0
23,0,0.0,0,0.0,1.4517546,36.0
24,0,0.0,0,0.0,1.308551,37.0
25,0,0.0,0,0.0,1.2461293,40.0
26,0,0.0,0,0.0,1.2461503,43.0
27,0,0.0,0,0.0,1.1808865,46.0
28,0,0.0,0,0.0,1.1049347,48.0
29,-1,0.0,0,0.0,0.99359405,51.0
30,0,-0.033333335,-1,0.0,0.73310995,53.0
31,0,-0.032258064,-1,0.0,2.994709,55.0
32,0,-0.03125,-1,0.0,2.989055,58.0
33,0,-0.030303031,-1,0.0,2.9947643,59.0
34,0,-0.029411765,-1,-6.7476038e-12,2.9947917,62.0
35,0,-0.028571429,-1,0.0,2.9295318,65.0
36,0,-0.027777778,-1,0.0,2.867112,67.0
37,0,-0.027027028,-1,0.0,2.8046913,69.0
38,0,-0.02631579,-1,0.0,2.0843863,71.0
39,0,-0.025641026,-1,0.0,1.8429549,73.0
40,0,-0.025,-1,0.0,1.8516867,75.0
41,0,-0.024390243,-1,0.0,2.0118759,78.0
42,0,-0.023809524,-1,0.0,1.8028076,79.0
43,0,-0.023255814,-1,0.0,1.6779315,82.0
44,0,-0.022727273,-1,0.0,1.547372,85.0
45,0,-0.022222223,-1,-1.1947913e-26,1.5473905,88.0
